#1
double table_rudderFeedback(16300,2)
0	0
0.06	-0.00081921431217597048
0.06	-0.00081921431217597048
0.06	-0.00081921431217597048
0.06	-0.00081921431217597048
0.06	-0.00081921431217597048
0.06	-0.00081921431217597048
0.120029	-4.8373128988095164e-06
0.120029	-4.8373128988095164e-06
0.120029	-4.8373128988095164e-06
0.120029	-4.8373128988095164e-06
0.156	1.7855487184722337e-05
0.168024	1.3774842390128922e-05
0.180022	8.7503462176250842e-06
0.180022	8.7503462176250842e-06
0.192002	5.3285224364335246e-06
0.192002	5.3285224364335246e-06
0.192002	5.3285224364335246e-06
0.192002	5.3285224364335246e-06
0.240004	-3.1911353197120305e-07
0.240004	-3.1911353197120305e-07
0.252022	-3.3466084639667316e-07
0.252022	-3.3466084639667316e-07
0.252022	-3.3466084639667316e-07
0.252022	-3.3466084639667316e-07
0.3	-7.7915666424032661e-08
0.3	-7.7915666424032661e-08
0.3	-7.7915666424032661e-08
0.324	-1.3018437300818479e-08
0.324	-1.3018437300818479e-08
0.324	-1.3018437300818479e-08
0.360109	6.6103330527111535e-09
0.360109	6.6103330527111535e-09
0.360109	6.6103330527111535e-09
0.360109	6.6103330527111535e-09
0.360109	6.6103330527111535e-09
0.360109	6.6103330527111535e-09
0.420002	5.3337394916549409e-10
0.420002	5.3337394916549409e-10
0.420002	5.3337394916549409e-10
0.420002	5.3337394916549409e-10
0.420002	5.3337394916549409e-10
0.420002	5.3337394916549409e-10
0.48	-9.1665379878285298e-11
0.48	-9.1665379878285298e-11
0.48	-9.1665379878285298e-11
0.480003	-9.1658384033462113e-11
0.480003	-9.1658384033462113e-11
0.528031	-9.5838803581738013e-12
0.540023	-1.6905003547194353e-12
0.552004	4.852998091459311e-13
0.552004	4.852998091459311e-13
0.552004	4.852998091459311e-13
0.552004	4.852998091459311e-13
0.552004	4.852998091459311e-13
0.600003	1.0282790733794997e-12
0.600003	1.0282790733794997e-12
0.600003	1.0282790733794997e-12
0.600003	1.0282790733794997e-12
0.600003	1.0282790733794997e-12
0.600003	1.0282790733794997e-12
0.660003	-2.5764188631792255e-14
0.660003	-2.5764188631792255e-14
0.660003	-2.5764188631792255e-14
0.660003	-2.5764188631792255e-14
0.696003	-2.553207901867781e-14
0.696003	-2.553207901867781e-14
0.720012	-9.6410152756408847e-15
0.720012	-9.6410152756408847e-15
0.720012	-9.6410152756408847e-15
0.720012	-9.6410152756408847e-15
0.720012	-9.6410152756408847e-15
0.720012	-9.6410152756408847e-15
