timestamp,propeller_rpm
1789134801081013,0.0
1789134801091013,0.0
1789134801101013,0.0
1789134801113013,0.0
1789134801121013,0.0
1789134801129013,0.0
1789134801141013,0.0
1789134801151013,0.0
1789134801161013,0.0
1789134801173013,0.0
1789134801181013,0.0
1789134801191013,0.0
1789134801199013,0.0
1789134801211013,0.0
1789134801221013,0.0
1789134801233013,0.0
1789134801241177,0.0
1789134801245177,0.0
1789134801261177,0.0
1789134801269177,0.0
1789134801281177,0.0
1789134801293177,0.0
1789134801299177,0.0
1789134801311177,0.0
1789134801321177,0.0
1789134801329177,0.0
1789134801341177,0.0
1789134801353177,0.0
1789134801361177,0.0
1789134801365177,0.0
1789134801381177,0.0
1789134801391177,0.0
1789134801401177,0.0
1789134801411177,0.0
1789134801423177,0.0
1789134801431177,0.0
1789134801441177,0.0
1789134801451177,0.0
1789134801461177,0.0
1789134801473177,0.0
1789134801481177,0.0
1789134801491177,0.0
1789134801497177,0.0
1789134801511177,0.0
1789134801521177,0.0
1789134801533177,0.0
1789134801541177,0.0
1789134801551177,0.0
1789134801561177,0.0
1789134801571177,0.0
1789134801581177,0.0
1789134801593177,0.0
1789134801595177,0.0
1789134801611177,0.0
1789134801621177,0.0
1789134801629177,0.0
1789134801641177,0.0
1789134801653177,0.0
1789134801663177,0.0
1789134801671177,0.0
1789134801681177,0.0
1789134801691177,0.0
1789134801701177,0.0
1789134801713177,0.0
1789134801721177,0.0
1789134801727177,0.0
1789134801741177,0.0
1789134801751177,0.0
1789134801761177,0.0
1789134801773177,0.0
1789134801781177,0.0
1789134801791177,0.0
1789134801801177,0.0
1789134801811177,0.0
1789134801821177,0.0
1789134801833177,0.0
1789134801841177,0.0
1789134801851177,0.0
1789134801859177,0.0
1789134801871177,0.0
1789134801881177,0.0
1789134801893177,0.0
1789134801901177,0.0
1789134801911177,0.0
1789134801921177,0.0
1789134801929177,0.0
1789134801941177,0.0
1789134801953177,0.0
1789134801959177,0.0
1789134801971177,0.0
1789134801981177,0.0
1789134801991177,0.0
1789134802001177,0.0
1789134802013177,0.0
1789134802021177,0.0
1789134802025177,0.0
1789134802041177,0.0
1789134802051177,0.0
1789134802061177,0.0
1789134802073177,0.0
1789134802081177,0.0
1789134802091177,0.0
1789134802097177,0.0
1789134802111177,0.0
1789134802121177,0.0
1789134802133177,0.0
1789134802141177,0.0
1789134802151177,0.0
1789134802157177,0.0
1789134802171177,0.0
1789134802181177,0.0
