timestamp,rudder_angle_setpoint_rad,rate_of_turn
1789134801069013,0.0,0.0
1789134801081013,0.0,0.0
1789134801093013,0.0,0.0
1789134801095013,0.0,0.0
1789134801111013,0.0,0.0
1789134801121013,0.0,0.0
1789134801129013,0.0,0.0
1789134801141013,0.0,0.0
1789134801151013,0.0,0.0
1789134801163013,0.0,0.0
1789134801167013,0.0,0.0
1789134801181013,0.0,0.0
1789134801191013,0.0,0.0
1789134801201013,0.0,0.0
1789134801213013,0.0,0.0
1789134801215013,0.0,0.0
1789134801231013,0.0,0.0
1789134801241177,0.0,0.0
1789134801251177,0.0,0.0
1789134801261177,0.0,0.0
1789134801271177,0.0,0.0
1789134801281177,0.0,0.0
1789134801291177,0.0,0.0
1789134801299177,0.0,0.0
1789134801311177,0.0,0.0
1789134801321177,0.0,0.0
1789134801333177,0.0,0.0
1789134801341177,0.0,0.0
1789134801351177,0.0,0.0
1789134801361177,0.0,0.0
1789134801369177,0.0,0.0
1789134801381177,0.0,0.0
1789134801393177,0.0,0.0
1789134801397177,0.0,0.0
1789134801411177,0.0,0.0
1789134801421177,0.0,0.0
1789134801431177,0.0,0.0
1789134801441177,0.0,0.0
1789134801453177,0.0,0.0
1789134801463177,0.0,0.0
1789134801471177,0.0,0.0
1789134801481177,0.0,0.0
1789134801491177,0.0,0.0
1789134801501177,0.0,0.0
1789134801513177,0.0,0.0
1789134801521177,0.0,0.0
1789134801529177,0.0,0.0
1789134801541177,0.0,0.0
1789134801551177,0.0,0.0
1789134801561177,0.0,0.0
1789134801573177,0.0,0.0
1789134801583177,0.0,0.0
1789134801591177,0.0,0.0
1789134801597177,0.0,0.0
1789134801611177,0.0,0.0
1789134801621177,0.0,0.0
1789134801633177,0.0,0.0
1789134801643177,0.0,0.0
1789134801651177,0.0,0.0
1789134801661177,0.0,0.0
1789134801671177,0.0,0.0
1789134801681177,0.0,0.0
1789134801691177,0.0,0.0
1789134801703177,0.0,0.0
1789134801711177,0.0,0.0
1789134801721177,0.0,0.0
1789134801729177,0.0,0.0
1789134801741177,0.0,0.0
1789134801751177,0.0,0.0
1789134801761177,0.0,0.0
1789134801771177,0.0,0.0
1789134801781177,0.0,0.0
1789134801791177,0.0,0.0
1789134801801177,0.0,0.0
1789134801813177,0.0,0.0
1789134801823177,0.0,0.0
1789134801827177,0.0,0.0
1789134801841177,0.0,0.0
1789134801851177,0.0,0.0
1789134801861177,0.0,0.0
1789134801871177,0.0,0.0
1789134801881177,0.0,0.0
1789134801891177,0.0,0.0
1789134801901177,0.0,0.0
1789134801911177,0.0,0.0
1789134801921177,0.0,0.0
1789134801933177,0.0,0.0
1789134801941177,0.0,0.0
1789134801951177,0.0,0.0
1789134801959177,0.0,0.0
1789134801971177,0.0,0.0
1789134801981177,0.0,0.0
1789134801993177,0.0,0.0
1789134802001177,0.0,0.0
1789134802011177,0.0,0.0
1789134802021177,0.0,0.0
1789134802027177,0.0,0.0
1789134802041177,0.0,0.0
1789134802053177,0.0,0.0
1789134802057177,0.0,0.0
1789134802071177,0.0,0.0
1789134802081177,0.0,0.0
1789134802091177,0.0,0.0
1789134802101177,0.0,0.0
1789134802113177,0.0,0.0
1789134802121177,0.0,0.0
1789134802129177,0.0,0.0
1789134802141177,0.0,0.0
1789134802151177,0.0,0.0
1789134802161177,0.0,0.0
1789134802173177,0.0,0.0
1789134802183177,0.0,0.0
1789134802189177,0.0,0.0
1789134802201177,0.0,0.0
1789134802211177,0.0,0.0
1789134802221177,0.0,0.0
1789134802233177,0.0,0.0
1789134802241177,0.0,0.0
1789134802251341,0.0,0.0
1789134802255341,0.0,0.0
1789134802271341,0.0,0.0
1789134802281341,0.0,0.0
1789134802293341,0.0,0.0
1789134802303341,0.0,0.0
1789134802311341,0.0,0.0
1789134802321341,0.0,0.0
1789134802329341,0.0,0.0
1789134802341341,0.0,0.0
1789134802351341,0.0,0.0
1789134802363341,0.0,0.0
1789134802371341,0.0,0.0
1789134802381341,0.0,0.0
1789134802387341,0.0,0.0
1789134802401341,0.0,0.0
1789134802413341,0.0,0.0
1789134802421341,0.0,0.0
1789134802431341,0.0,0.0
1789134802441341,0.0,0.0
1789134802451341,0.0,0.0
1789134802461341,0.0,0.0
1789134802473341,0.0,0.0
1789134802483341,0.0,0.0
1789134802487341,0.0,0.0
1789134802501341,0.0,0.0
1789134802511341,0.0,0.0
1789134802521341,0.0,0.0
1789134802533341,0.0,0.0
1789134802541341,0.0,0.0
1789134802551341,0.0,0.0
1789134802561341,0.0,0.0
1789134802571341,0.0,0.0
1789134802581341,0.0,0.0
1789134802593341,0.0,0.0
1789134802601341,0.0,0.0
1789134802611341,0.0,0.0
1789134802619341,0.0,0.0
1789134802631341,0.0,0.0
1789134802641341,0.0,0.0
1789134802653341,0.0,0.0
1789134802655341,0.0,0.0
1789134802671341,0.0,0.0
1789134802681341,0.0,0.0
1789134802689341,0.0,0.0
1789134802701341,0.0,0.0
1789134802713341,0.0,0.0
1789134802717341,0.0,0.0
1789134802729341,0.0,0.0
1789134802741341,0.0,0.0
1789134802751341,0.0,0.0
1789134802761341,0.0,0.0
1789134802773341,0.0,0.0
1789134802775341,0.0,0.0
1789134802791341,0.0,0.0
1789134802801341,0.0,0.0
1789134802811341,0.0,0.0
1789134802821341,0.0,0.0
1789134802833341,0.0,0.0
1789134802841341,0.0,0.0
1789134802849341,0.0,0.0
1789134802861341,0.0,0.0
1789134802871341,0.0,0.0
1789134802881341,0.0,0.0
1789134802893341,0.0,0.0
1789134802903341,0.0,0.0
1789134802911341,0.0,0.0
1789134802917341,0.0,0.0
1789134802929341,0.0,0.0
1789134802941341,0.0,0.0
1789134802953341,0.0,0.0
1789134802961341,0.0,0.0
1789134802971341,0.0,0.0
1789134802981341,0.0,0.0
1789134802991341,0.0,0.0
1789134803001341,0.0,0.0
1789134803013341,0.0,0.0
1789134803015341,0.0,0.0
1789134803031341,0.0,0.0
1789134803041341,0.0,0.0
1789134803049341,0.0,0.0
1789134803061341,0.0,0.0
1789134803073341,0.0,0.0
1789134803083341,0.0,0.0
1789134803091341,0.0,0.0
1789134803097341,0.0,0.0
1789134803111341,0.0,0.0
1789134803121341,0.0,0.0
1789134803133341,0.0,0.0
1789134803143341,0.0,0.0
1789134803147341,0.0,0.0
1789134803161341,0.0,0.0
1789134803171341,0.0,0.0
1789134803181341,0.0,0.0
1789134803193341,0.0,0.0
1789134803203341,0.0,0.0
1789134803211341,0.0,0.0
1789134803221341,0.0,0.0
1789134803231341,0.0,0.0
1789134803241341,0.0,0.0
1789134803253341,0.0,0.0
1789134803263504,0.0,0.0
1789134803271504,0.0,0.0
1789134803279504,0.0,0.0
1789134803291504,0.0,0.0
1789134803301504,0.0,0.0
1789134803313504,0.0,0.0
1789134803323504,0.0,0.0
1789134803329504,0.0,0.0
1789134803341504,0.0,0.0
1789134803349504,0.0,0.0
1789134803361504,0.0,0.0
1789134803373504,0.0,0.0
1789134803383504,0.0,0.0
1789134803391504,0.0,0.0
1789134803401504,0.0,0.0
1789134803411504,0.0,0.0
1789134803421504,0.0,0.0
1789134803433504,0.0,0.0
1789134803443504,0.0,0.0
1789134803451504,0.0,0.0
1789134803461504,0.0,0.0
1789134803471504,0.0,0.0
1789134803481504,0.0,0.0
1789134803493504,0.0,0.0
