timestamp,speed_error,velocity_active
1789134801063013,0.0,0
1789134801063013,0.0,0
1789134801099013,0.0,0
1789134801111013,0.0,0
1789134801123013,0.0,0
1789134801123013,0.0,0
1789134801123013,0.0,0
1789134801123013,0.0,0
1789134801159013,0.0,0
1789134801171013,0.0,0
1789134801183013,0.0,0
1789134801183013,0.0,0
1789134801183013,0.0,0
1789134801183013,0.0,0
1789134801219013,0.0,0
1789134801231013,0.0,0
1789134801243013,0.0,0
1789134801243177,0.0,0
1789134801243177,0.0,0
1789134801267177,0.0,0
1789134801267177,0.0,0
1789134801291177,0.0,0
1789134801303177,0.0,0
1789134801303177,0.0,0
1789134801303177,0.0,0
1789134801303177,0.0,0
1789134801303177,0.0,0
1789134801351177,0.0,0
1789134801363177,0.0,0
1789134801363177,0.0,0
1789134801363177,0.0,0
1789134801363177,0.0,0
1789134801399177,0.0,0
1789134801411177,0.0,0
1789134801423177,0.0,0
1789134801423177,0.0,0
1789134801423177,0.0,0
1789134801423177,0.0,0
1789134801459177,0.0,0
1789134801471177,0.0,0
1789134801483177,0.0,0
1789134801483177,0.0,0
1789134801483177,0.0,0
1789134801483177,0.0,0
1789134801483177,0.0,0
1789134801531177,0.0,0
1789134801543177,0.0,0
1789134801543177,0.0,0
1789134801543177,0.0,0
1789134801543177,0.0,0
1789134801579177,0.0,0
1789134801591177,0.0,0
1789134801603177,0.0,0
1789134801603177,0.0,0
1789134801603177,0.0,0
1789134801603177,0.0,0
1789134801603177,0.0,0
1789134801651177,0.0,0
1789134801663177,0.0,0
1789134801663177,0.0,0
1789134801663177,0.0,0
1789134801663177,0.0,0
1789134801663177,0.0,0
1789134801711177,0.0,0
1789134801723177,0.0,0
1789134801723177,0.0,0
1789134801723177,0.0,0
1789134801723177,0.0,0
1789134801723177,0.0,0
1789134801771177,0.0,0
1789134801783177,0.0,0
1789134801783177,0.0,0
1789134801783177,0.0,0
1789134801783177,0.0,0
1789134801783177,0.0,0
1789134801831177,0.0,0
1789134801843177,0.0,0
1789134801843177,0.0,0
1789134801843177,0.0,0
1789134801843177,0.0,0
1789134801843177,0.0,0
1789134801891177,0.0,0
1789134801903177,0.0,0
1789134801903177,0.0,0
1789134801903177,0.0,0
1789134801927177,0.0,0
1789134801927177,0.0,0
1789134801951177,0.0,0
1789134801963177,0.0,0
1789134801963177,0.0,0
1789134801963177,0.0,0
1789134801963177,0.0,0
1789134801963177,0.0,0
1789134802011177,0.0,0
1789134802023177,0.0,0
1789134802023177,0.0,0
1789134802023177,0.0,0
1789134802023177,0.0,0
1789134802059177,0.0,0
1789134802071177,0.0,0
1789134802083177,0.0,0
