timestamp,chi_sf,chi_d,steering_active
1789134801067013,0.0,0.0,0
1789134801067013,0.0,0.0,0
1789134801091013,0.0,0.0,0
1789134801103013,0.0,0.0,0
1789134801103013,0.0,0.0,0
1789134801103013,0.0,0.0,0
1789134801103013,0.0,0.0,0
1789134801103013,0.0,0.0,0
1789134801151013,0.0,0.0,0
1789134801163013,0.0,0.0,0
1789134801163013,0.0,0.0,0
1789134801163013,0.0,0.0,0
1789134801163013,0.0,0.0,0
1789134801199013,0.0,0.0,0
1789134801211013,0.0,0.0,0
1789134801223013,0.0,0.0,0
1789134801223013,0.0,0.0,0
1789134801223177,0.0,0.0,0
1789134801223177,0.0,0.0,0
1789134801223177,0.0,0.0,0
1789134801271177,0.0,0.0,0
1789134801283177,0.0,0.0,0
1789134801283177,0.0,0.0,0
1789134801283177,0.0,0.0,0
1789134801283177,0.0,0.0,0
1789134801283177,0.0,0.0,0
1789134801331177,0.0,0.0,0
1789134801343177,0.0,0.0,0
1789134801343177,0.0,0.0,0
1789134801343177,0.0,0.0,0
1789134801367177,0.0,0.0,0
1789134801367177,0.0,0.0,0
1789134801391177,0.0,0.0,0
1789134801403177,0.0,0.0,0
1789134801403177,0.0,0.0,0
1789134801403177,0.0,0.0,0
1789134801403177,0.0,0.0,0
1789134801403177,0.0,0.0,0
1789134801451177,0.0,0.0,0
1789134801463177,0.0,0.0,0
1789134801463177,0.0,0.0,0
1789134801463177,0.0,0.0,0
1789134801463177,0.0,0.0,0
1789134801499177,0.0,0.0,0
1789134801511177,0.0,0.0,0
1789134801523177,0.0,0.0,0
1789134801523177,0.0,0.0,0
1789134801523177,0.0,0.0,0
1789134801523177,0.0,0.0,0
1789134801523177,0.0,0.0,0
1789134801571177,0.0,0.0,0
1789134801583177,0.0,0.0,0
1789134801583177,0.0,0.0,0
1789134801595177,0.0,0.0,0
1789134801595177,0.0,0.0,0
1789134801595177,0.0,0.0,0
1789134801631177,0.0,0.0,0
1789134801643177,0.0,0.0,0
1789134801643177,0.0,0.0,0
1789134801643177,0.0,0.0,0
1789134801643177,0.0,0.0,0
1789134801643177,0.0,0.0,0
1789134801691177,0.0,0.0,0
1789134801703177,0.0,0.0,0
1789134801703177,0.0,0.0,0
1789134801703177,0.0,0.0,0
1789134801727177,0.0,0.0,0
1789134801727177,0.0,0.0,0
1789134801751177,0.0,0.0,0
1789134801763177,0.0,0.0,0
1789134801763177,0.0,0.0,0
1789134801763177,0.0,0.0,0
1789134801763177,0.0,0.0,0
1789134801763177,0.0,0.0,0
1789134801811177,0.0,0.0,0
1789134801823177,0.0,0.0,0
1789134801823177,0.0,0.0,0
1789134801823177,0.0,0.0,0
1789134801823177,0.0,0.0,0
1789134801859177,0.0,0.0,0
1789134801871177,0.0,0.0,0
1789134801883177,0.0,0.0,0
1789134801883177,0.0,0.0,0
1789134801883177,0.0,0.0,0
1789134801883177,0.0,0.0,0
1789134801883177,0.0,0.0,0
1789134801931177,0.0,0.0,0
1789134801943177,0.0,0.0,0
1789134801943177,0.0,0.0,0
1789134801943177,0.0,0.0,0
1789134801943177,0.0,0.0,0
1789134801943177,0.0,0.0,0
1789134801991177,0.0,0.0,0
1789134802003177,0.0,0.0,0
1789134802003177,0.0,0.0,0
1789134802003177,0.0,0.0,0
1789134802027177,0.0,0.0,0
1789134802027177,0.0,0.0,0
1789134802051177,0.0,0.0,0
1789134802063177,0.0,0.0,0
1789134802063177,0.0,0.0,0
1789134802063177,0.0,0.0,0
1789134802063177,0.0,0.0,0
1789134802099177,0.0,0.0,0
1789134802111177,0.0,0.0,0
1789134802123177,0.0,0.0,0
1789134802123177,0.0,0.0,0
1789134802123177,0.0,0.0,0
1789134802123177,0.0,0.0,0
1789134802159177,0.0,0.0,0
1789134802171177,0.0,0.0,0
1789134802183177,0.0,0.0,0
1789134802183177,0.0,0.0,0
1789134802183177,0.0,0.0,0
1789134802183177,0.0,0.0,0
1789134802183177,0.0,0.0,0
1789134802231177,0.0,0.0,0
1789134802243177,0.0,0.0,0
1789134802243341,0.0,0.0,0
1789134802255341,0.0,0.0,0
1789134802255341,0.0,0.0,0
1789134802255341,0.0,0.0,0
1789134802291341,0.0,0.0,0
1789134802303341,0.0,0.0,0
1789134802303341,0.0,0.0,0
1789134802303341,0.0,0.0,0
1789134802303341,0.0,0.0,0
1789134802303341,0.0,0.0,0
1789134802351341,0.0,0.0,0
1789134802363341,0.0,0.0,0
1789134802363341,0.0,0.0,0
1789134802363341,0.0,0.0,0
1789134802387341,0.0,0.0,0
1789134802387341,0.0,0.0,0
1789134802411341,0.0,0.0,0
1789134802423341,0.0,0.0,0
1789134802423341,0.0,0.0,0
1789134802423341,0.0,0.0,0
1789134802423341,0.0,0.0,0
1789134802423341,0.0,0.0,0
1789134802471341,0.0,0.0,0
1789134802483341,0.0,0.0,0
1789134802483341,0.0,0.0,0
1789134802483341,0.0,0.0,0
1789134802483341,0.0,0.0,0
1789134802519341,0.0,0.0,0
1789134802531341,0.0,0.0,0
1789134802543341,0.0,0.0,0
1789134802543341,0.0,0.0,0
1789134802543341,0.0,0.0,0
1789134802543341,0.0,0.0,0
1789134802543341,0.0,0.0,0
1789134802591341,0.0,0.0,0
1789134802603341,0.0,0.0,0
1789134802603341,0.0,0.0,0
1789134802603341,0.0,0.0,0
1789134802603341,0.0,0.0,0
1789134802603341,0.0,0.0,0
1789134802651341,0.0,0.0,0
1789134802663341,0.0,0.0,0
1789134802663341,0.0,0.0,0
1789134802663341,0.0,0.0,0
1789134802687341,0.0,0.0,0
1789134802687341,0.0,0.0,0
1789134802711341,0.0,0.0,0
1789134802723341,0.0,0.0,0
1789134802723341,0.0,0.0,0
1789134802723341,0.0,0.0,0
1789134802723341,0.0,0.0,0
1789134802723341,0.0,0.0,0
1789134802771341,0.0,0.0,0
1789134802783341,0.0,0.0,0
1789134802783341,0.0,0.0,0
1789134802783341,0.0,0.0,0
1789134802783341,0.0,0.0,0
1789134802819341,0.0,0.0,0
1789134802831341,0.0,0.0,0
1789134802843341,0.0,0.0,0
1789134802843341,0.0,0.0,0
1789134802843341,0.0,0.0,0
1789134802843341,0.0,0.0,0
1789134802843341,0.0,0.0,0
1789134802891341,0.0,0.0,0
1789134802903341,0.0,0.0,0
1789134802903341,0.0,0.0,0
1789134802915341,0.0,0.0,0
1789134802915341,0.0,0.0,0
1789134802915341,0.0,0.0,0
1789134802951341,0.0,0.0,0
1789134802963341,0.0,0.0,0
1789134802963341,0.0,0.0,0
1789134802963341,0.0,0.0,0
1789134802963341,0.0,0.0,0
1789134802963341,0.0,0.0,0
1789134803011341,0.0,0.0,0
1789134803023341,0.0,0.0,0
1789134803023341,0.0,0.0,0
1789134803023341,0.0,0.0,0
1789134803047341,0.0,0.0,0
1789134803047341,0.0,0.0,0
1789134803071341,0.0,0.0,0
1789134803083341,0.0,0.0,0
1789134803083341,0.0,0.0,0
1789134803095341,0.0,0.0,0
