timestamp,speed_error,velocity_active
1789132619065470,0.0,0
1789132619125470,0.0,0
1789132619125470,0.0,0
1789132619125470,0.0,0
1789132619125470,0.0,0
1789132619125470,0.0,0
1789132619125470,0.0,0
1789132619185499,0.0,0
1789132619185499,0.0,0
1789132619185499,0.0,0
1789132619185499,0.0,0
1789132619221470,0.0,0
1789132619233494,0.0,0
1789132619245492,0.0,0
1789132619245492,0.0,0
1789132619257472,0.0,0
1789132619257472,0.0,0
1789132619257472,0.0,0
1789132619257472,0.0,0
1789132619305474,0.0,0
1789132619305474,0.0,0
1789132619317492,0.0,0
1789132619317492,0.0,0
1789132619317492,0.0,0
1789132619317492,0.0,0
1789132619365470,0.0,0
1789132619365470,0.0,0
1789132619365470,0.0,0
1789132619389470,0.0,0
1789132619389470,0.0,0
1789132619389470,0.0,0
1789132619425579,0.0,0
1789132619425579,0.0,0
1789132619425579,0.0,0
1789132619425579,0.0,0
1789132619425579,0.0,0
1789132619425579,0.0,0
1789132619485472,0.0,0
1789132619485472,0.0,0
1789132619485472,0.0,0
1789132619485472,0.0,0
1789132619485472,0.0,0
1789132619485472,0.0,0
1789132619545470,0.0,0
1789132619545470,0.0,0
1789132619545470,0.0,0
1789132619545473,0.0,0
1789132619545473,0.0,0
1789132619593501,0.0,0
1789132619605493,0.0,0
1789132619617474,0.0,0
1789132619617474,0.0,0
1789132619617474,0.0,0
1789132619617474,0.0,0
1789132619617474,0.0,0
1789132619665473,0.0,0
1789132619665473,0.0,0
1789132619665473,0.0,0
1789132619665473,0.0,0
1789132619665473,0.0,0
1789132619665473,0.0,0
1789132619725473,0.0,0
1789132619725473,0.0,0
1789132619725473,0.0,0
1789132619725473,0.0,0
1789132619761473,0.0,0
1789132619761473,0.0,0
1789132619785482,0.0,0
1789132619785482,0.0,0
1789132619785482,0.0,0
1789132619785482,0.0,0
1789132619785482,0.0,0
1789132619785482,0.0,0
1789132619845494,0.0,0
1789132619845494,0.0,0
1789132619845494,0.0,0
1789132619845494,0.0,0
1789132619845494,0.0,0
1789132619845494,0.0,0
1789132619905495,0.0,0
1789132619905495,0.0,0
1789132619905495,0.0,0
1789132619905495,0.0,0
1789132619905495,0.0,0
1789132619905495,0.0,0
1789132619965505,0.0,0
1789132619965505,0.0,0
1789132619965505,0.0,0
1789132619965505,0.0,0
1789132619965505,0.0,0
1789132619965505,0.0,0
1789132620025473,0.0,0
1789132620025473,0.0,0
1789132620025473,0.0,0
1789132620025473,0.0,0
1789132620025473,0.0,0
1789132620025473,0.0,0
1789132620085591,0.0,0
1789132620085591,0.0,0
1789132620097480,0.0,0
1789132620097480,0.0,0
1789132620097480,0.0,0
1789132620097480,0.0,0
1789132620145474,0.0,0
1789132620145474,0.0,0
1789132620145474,0.0,0
1789132620145474,0.0,0
1789132620145474,0.0,0
1789132620145474,0.0,0
1789132620205473,0.0,0
1789132620205473,0.0,0
1789132620217514,0.0,0
1789132620217514,0.0,0
1789132620217514,0.0,0
1789132620217514,0.0,0
1789132620265494,0.0,0
1789132620265494,0.0,0
1789132620265494,0.0,0
1789132620265494,0.0,0
1789132620301494,0.0,0
1789132620301494,0.0,0
1789132620325483,0.0,0
1789132620325483,0.0,0
1789132620325483,0.0,0
1789132620325483,0.0,0
1789132620325483,0.0,0
1789132620373517,0.0,0
1789132620385474,0.0,0
1789132620397496,0.0,0
1789132620397496,0.0,0
1789132620397496,0.0,0
1789132620397496,0.0,0
1789132620397496,0.0,0
1789132620445474,0.0,0
