timestamp,chi_sf,chi_d,steering_active
1789132619113512,0.0,0.0,0
1789132619125470,0.0,0.0,0
1789132619113512,0.0,0.0,0
1789132619113512,0.0,0.0,0
1789132619149470,0.0,0.0,0
1789132619161511,0.0,0.0,0
1789132619173499,0.0,0.0,0
1789132619185499,0.0,0.0,0
1789132619173499,0.0,0.0,0
1789132619197472,0.0,0.0,0
1789132619209490,0.0,0.0,0
1789132619209490,0.0,0.0,0
1789132619209490,0.0,0.0,0
1789132619245492,0.0,0.0,0
1789132619209490,0.0,0.0,0
1789132619209490,0.0,0.0,0
1789132619269470,0.0,0.0,0
1789132619281470,0.0,0.0,0
1789132619293532,0.0,0.0,0
1789132619305474,0.0,0.0,0
1789132619293532,0.0,0.0,0
1789132619293532,0.0,0.0,0
1789132619329470,0.0,0.0,0
1789132619341490,0.0,0.0,0
1789132619353498,0.0,0.0,0
1789132619365470,0.0,0.0,0
1789132619353498,0.0,0.0,0
1789132619377501,0.0,0.0,0
1789132619389470,0.0,0.0,0
1789132619401470,0.0,0.0,0
1789132619413525,0.0,0.0,0
1789132619425579,0.0,0.0,0
1789132619413525,0.0,0.0,0
1789132619437483,0.0,0.0,0
1789132619449490,0.0,0.0,0
1789132619461470,0.0,0.0,0
1789132619473513,0.0,0.0,0
1789132619485472,0.0,0.0,0
1789132619473513,0.0,0.0,0
1789132619497472,0.0,0.0,0
1789132619509491,0.0,0.0,0
1789132619521470,0.0,0.0,0
1789132619533496,0.0,0.0,0
1789132619545470,0.0,0.0,0
1789132619533496,0.0,0.0,0
1789132619557525,0.0,0.0,0
1789132619557528,0.0,0.0,0
1789132619581493,0.0,0.0,0
1789132619593501,0.0,0.0,0
1789132619605493,0.0,0.0,0
1789132619617474,0.0,0.0,0
1789132619617474,0.0,0.0,0
1789132619629473,0.0,0.0,0
1789132619641494,0.0,0.0,0
1789132619653499,0.0,0.0,0
1789132619665473,0.0,0.0,0
1789132619653499,0.0,0.0,0
1789132619677482,0.0,0.0,0
1789132619689513,0.0,0.0,0
1789132619701477,0.0,0.0,0
1789132619713517,0.0,0.0,0
1789132619725473,0.0,0.0,0
1789132619713517,0.0,0.0,0
1789132619737498,0.0,0.0,0
1789132619749473,0.0,0.0,0
1789132619749473,0.0,0.0,0
1789132619773517,0.0,0.0,0
1789132619785482,0.0,0.0,0
1789132619773517,0.0,0.0,0
1789132619773517,0.0,0.0,0
1789132619809474,0.0,0.0,0
1789132619821513,0.0,0.0,0
1789132619833500,0.0,0.0,0
1789132619845494,0.0,0.0,0
1789132619833500,0.0,0.0,0
1789132619857478,0.0,0.0,0
1789132619869493,0.0,0.0,0
1789132619881473,0.0,0.0,0
1789132619893498,0.0,0.0,0
1789132619905495,0.0,0.0,0
1789132619893498,0.0,0.0,0
1789132619917475,0.0,0.0,0
1789132619929474,0.0,0.0,0
1789132619941473,0.0,0.0,0
1789132619953535,0.0,0.0,0
1789132619965505,0.0,0.0,0
1789132619953535,0.0,0.0,0
1789132619977499,0.0,0.0,0
1789132619989474,0.0,0.0,0
1789132620001491,0.0,0.0,0
1789132620013506,0.0,0.0,0
1789132620025473,0.0,0.0,0
1789132620013506,0.0,0.0,0
1789132620037497,0.0,0.0,0
1789132620049474,0.0,0.0,0
1789132620049474,0.0,0.0,0
1789132620073498,0.0,0.0,0
1789132620085591,0.0,0.0,0
1789132620085591,0.0,0.0,0
1789132620097480,0.0,0.0,0
1789132620109493,0.0,0.0,0
1789132620121474,0.0,0.0,0
1789132620133516,0.0,0.0,0
1789132620145474,0.0,0.0,0
1789132620133516,0.0,0.0,0
1789132620157475,0.0,0.0,0
1789132620169509,0.0,0.0,0
1789132620181481,0.0,0.0,0
1789132620193498,0.0,0.0,0
1789132620205473,0.0,0.0,0
1789132620205473,0.0,0.0,0
1789132620205473,0.0,0.0,0
1789132620229477,0.0,0.0,0
1789132620241494,0.0,0.0,0
1789132620253498,0.0,0.0,0
1789132620265494,0.0,0.0,0
1789132620253498,0.0,0.0,0
1789132620277476,0.0,0.0,0
1789132620289473,0.0,0.0,0
1789132620289473,0.0,0.0,0
1789132620313499,0.0,0.0,0
1789132620325483,0.0,0.0,0
1789132620313499,0.0,0.0,0
1789132620337475,0.0,0.0,0
1789132620349527,0.0,0.0,0
1789132620361478,0.0,0.0,0
1789132620373517,0.0,0.0,0
1789132620385474,0.0,0.0,0
1789132620397496,0.0,0.0,0
1789132620397496,0.0,0.0,0
1789132620409474,0.0,0.0,0
1789132620421473,0.0,0.0,0
1789132620433517,0.0,0.0,0
1789132620445474,0.0,0.0,0
1789132620433517,0.0,0.0,0
1789132620457478,0.0,0.0,0
1789132620469473,0.0,0.0,0
1789132620481513,0.0,0.0,0
1789132620493502,0.0,0.0,0
1789132620505494,0.0,0.0,0
1789132620493502,0.0,0.0,0
1789132620517476,0.0,0.0,0
1789132620529493,0.0,0.0,0
1789132620541473,0.0,0.0,0
1789132620553498,0.0,0.0,0
1789132620565474,0.0,0.0,0
1789132620553498,0.0,0.0,0
