timestamp,propeller_rpm
1789132619106633,0.0
1789132619116043,0.0
1789132619127595,0.0
1789132619142615,0.0
1789132619151596,0.0
1789132619163632,0.0
1789132619175592,0.0
1789132619178668,0.0
1789132619187618,0.0
1789132619199591,0.0
1789132619211593,0.0
1789132619223642,0.0
1789132619235601,0.0
1789132619238705,0.0
1789132619247602,0.0
1789132619259591,0.0
1789132619271628,0.0
1789132619283619,0.0
1789132619295611,0.0
1789132619298669,0.0
1789132619307595,0.0
1789132619319608,0.0
1789132619331592,0.0
1789132619343634,0.0
1789132619355611,0.0
1789132619358661,0.0
1789132619367605,0.0
1789132619379590,0.0
1789132619391590,0.0
1789132619403652,0.0
1789132619415596,0.0
1789132619418680,0.0
1789132619427624,0.0
1789132619439628,0.0
1789132619451609,0.0
1789132619463616,0.0
1789132619475601,0.0
1789132619478662,0.0
1789132619487619,0.0
1789132619499601,0.0
1789132619511592,0.0
1789132619523613,0.0
1789132619535704,0.0
1789132619538662,0.0
1789132619547599,0.0
1789132619559609,0.0
1789132619571595,0.0
1789132619583634,0.0
1789132619595597,0.0
1789132619607597,0.0
1789132619610699,0.0
1789132619619628,0.0
1789132619631604,0.0
1789132619643642,0.0
1789132619655597,0.0
1789132619658681,0.0
1789132619667635,0.0
1789132619679597,0.0
1789132619691611,0.0
1789132619703617,0.0
1789132619715613,0.0
1789132619718686,0.0
1789132619727598,0.0
1789132619739594,0.0
1789132619751612,0.0
1789132619763627,0.0
1789132619775595,0.0
1789132619778674,0.0
1789132619787604,0.0
1789132619799633,0.0
1789132619811599,0.0
1789132619823635,0.0
1789132619826599,0.0
1789132619836078,0.0
1789132619847638,0.0
1789132619859593,0.0
1789132619871622,0.0
1789132619883636,0.0
1789132619886599,0.0
1789132619896177,0.0
1789132619907595,0.0
1789132619919594,0.0
1789132619931631,0.0
1789132619943644,0.0
1789132619946618,0.0
1789132619956065,0.0
1789132619967598,0.0
1789132619979613,0.0
1789132619991594,0.0
1789132620003618,0.0
1789132620006600,0.0
1789132620016124,0.0
1789132620027612,0.0
1789132620039594,0.0
1789132620051602,0.0
1789132620063658,0.0
1789132620066601,0.0
1789132620076455,0.0
1789132620087622,0.0
1789132620099594,0.0
1789132620111610,0.0
1789132620123618,0.0
1789132620126610,0.0
1789132620136047,0.0
1789132620147616,0.0
1789132620159602,0.0
1789132620171595,0.0
1789132620183617,0.0
1789132620186616,0.0
1789132620201619,0.0
1789132620207601,0.0
1789132620219626,0.0
1789132620231593,0.0
1789132620243664,0.0
1789132620246617,0.0
1789132620256047,0.0
1789132620267605,0.0
1789132620279612,0.0
1789132620291605,0.0
1789132620303631,0.0
1789132620306602,0.0
1789132620316047,0.0
1789132620327634,0.0
1789132620339597,0.0
1789132620351613,0.0
1789132620363619,0.0
1789132620375612,0.0
1789132620387603,0.0
1789132620390704,0.0
1789132620402611,0.0
1789132620411615,0.0
1789132620423627,0.0
1789132620426637,0.0
1789132620436093,0.0
1789132620447597,0.0
1789132620459633,0.0
1789132620471599,0.0
1789132620483636,0.0
1789132620486600,0.0
1789132620496169,0.0
1789132620507614,0.0
1789132620519593,0.0
1789132620531610,0.0
1789132620543636,0.0
1789132620546601,0.0
1789132620556056,0.0
1789132620567596,0.0
1789132620579599,0.0
1789132620591654,0.0
1789132620603633,0.0
1789132620616016,0.0
1789132620627601,0.0
1789132620630698,0.0
1789132620639614,0.0
1789132620651599,0.0
1789132620663621,0.0
1789132620666605,0.0
1789132620681624,0.0
1789132620687618,0.0
1789132620699597,0.0
1789132620711597,0.0
1789132620723677,0.0
1789132620726604,0.0
1789132620736056,0.0
1789132620747618,0.0
1789132620759596,0.0
1789132620771616,0.0
1789132620783620,0.0
1789132620786614,0.0
1789132620804622,0.0
1789132620807601,0.0
1789132620819607,0.0
1789132620831608,0.0
1789132620843643,0.0
1789132620846622,0.0
1789132620856191,0.0
1789132620867619,0.0
1789132620879615,0.0
1789132620891599,0.0
1789132620903638,0.0
1789132620906603,0.0
1789132620916051,0.0
1789132620927617,0.0
1789132620939597,0.0
1789132620951608,0.0
1789132620963622,0.0
1789132620966607,0.0
1789132620976064,0.0
1789132620990699,0.0
1789132620999603,0.0
1789132621011616,0.0
1789132621023620,0.0
1789132621026604,0.0
1789132621036068,0.0
1789132621047609,0.0
1789132621059597,0.0
1789132621071598,0.0
1789132621083631,0.0
1789132621086658,0.0
1789132621095601,0.0
1789132621110725,0.0
1789132621119654,0.0
1789132621131602,0.0
1789132621143655,0.0
1789132621146604,0.0
1789132621156053,0.0
1789132621167619,0.0
1789132621179619,0.0
1789132621191599,0.0
1789132621203620,0.0
1789132621215621,0.0
1789132621227601,0.0
1789132621230719,0.0
1789132621239597,0.0
1789132621251654,0.0
1789132621263625,0.0
1789132621266620,0.0
1789132621276091,0.0
1789132621287616,0.0
1789132621299615,0.0
1789132621311598,0.0
1789132621323621,0.0
1789132621326603,0.0
1789132621336052,0.0
1789132621347609,0.0
1789132621359597,0.0
1789132621371598,0.0
1789132621383686,0.0
1789132621386604,0.0
1789132621396177,0.0
1789132621407621,0.0
1789132621419606,0.0
1789132621431619,0.0
1789132621443662,0.0
1789132621446614,0.0
1789132621456050,0.0
1789132621467608,0.0
1789132621479606,0.0
1789132621491598,0.0
1789132621503636,0.0
1789132621506630,0.0
1789132621516162,0.0
1789132621527611,0.0
1789132621539615,0.0
1789132621551598,0.0
1789132621563639,0.0
1789132621566604,0.0
1789132621576099,0.0
1789132621596763,0.0
1789132621605628,0.0
1789132621611612,0.0
1789132621623624,0.0
1789132621626612,0.0
1789132621636054,0.0
1789132621647644,0.0
1789132621659604,0.0
1789132621671620,0.0
1789132621683626,0.0
1789132621686631,0.0
1789132621696205,0.0
1789132621707623,0.0
1789132621719601,0.0
1789132621731603,0.0
1789132621743649,0.0
1789132621746643,0.0
1789132621756057,0.0
1789132621767606,0.0
1789132621779639,0.0
1789132621791606,0.0
1789132621803650,0.0
1789132621815603,0.0
1789132621827632,0.0
1789132621830702,0.0
1789132621839619,0.0
1789132621851603,0.0
1789132621863629,0.0
1789132621866609,0.0
1789132621876076,0.0
1789132621887619,0.0
1789132621899602,0.0
1789132621914606,0.0
1789132621923629,0.0
1789132621926624,0.0
1789132621936072,0.0
1789132621947605,0.0
1789132621959619,0.0
1789132621971622,0.0
1789132621983626,0.0
1789132621986608,0.0
1789132621996176,0.0
1789132622010743,0.0
1789132622019601,0.0
1789132622031603,0.0
1789132622043695,0.0
1789132622046608,0.0
1789132622056061,0.0
1789132622067621,0.0
1789132622079600,0.0
1789132622091620,0.0
1789132622103644,0.0
1789132622106619,0.0
1789132622121618,0.0
1789132622127605,0.0
1789132622139610,0.0
1789132622151602,0.0
1789132622163674,0.0
1789132622166627,0.0
1789132622176181,0.0
