timestamp,rudder_angle_setpoint_rad
1789132619106639,0.0
1789132619116049,0.0
1789132619127601,0.0
1789132619142621,0.0
1789132619151603,0.0
1789132619163638,0.0
1789132619175601,0.0
1789132619178675,0.0
1789132619187625,0.0
1789132619199597,0.0
1789132619211599,0.0
1789132619223649,0.0
1789132619235611,0.0
1789132619238712,0.0
1789132619247608,0.0
1789132619259597,0.0
1789132619271634,0.0
1789132619283626,0.0
1789132619295620,0.0
1789132619298675,0.0
1789132619307601,0.0
1789132619319615,0.0
1789132619331598,0.0
1789132619343643,0.0
1789132619355620,0.0
1789132619358667,0.0
1789132619367611,0.0
1789132619379597,0.0
1789132619391597,0.0
1789132619403658,0.0
1789132619415605,0.0
1789132619418686,0.0
1789132619427631,0.0
1789132619439635,0.0
1789132619451615,0.0
1789132619463622,0.0
1789132619475622,0.0
1789132619478668,0.0
1789132619487626,0.0
1789132619499607,0.0
1789132619511599,0.0
1789132619523619,0.0
1789132619535711,0.0
1789132619538668,0.0
1789132619547605,0.0
1789132619559615,0.0
1789132619571601,0.0
1789132619583641,0.0
1789132619595606,0.0
1789132619607607,0.0
1789132619610705,0.0
1789132619619634,0.0
1789132619631611,0.0
1789132619643649,0.0
1789132619655606,0.0
1789132619658688,0.0
1789132619667642,0.0
1789132619679603,0.0
1789132619691618,0.0
1789132619703624,0.0
1789132619715622,0.0
1789132619718692,0.0
1789132619727604,0.0
1789132619739600,0.0
1789132619751619,0.0
1789132619763633,0.0
1789132619775604,0.0
1789132619778681,0.0
1789132619787610,0.0
1789132619799640,0.0
1789132619811605,0.0
1789132619823642,0.0
1789132619826605,0.0
1789132619836084,0.0
1789132619847644,0.0
1789132619859599,0.0
1789132619871629,0.0
1789132619883642,0.0
1789132619886606,0.0
1789132619896184,0.0
1789132619907602,0.0
1789132619919601,0.0
1789132619931638,0.0
1789132619943650,0.0
1789132619946624,0.0
1789132619956071,0.0
1789132619967604,0.0
1789132619979619,0.0
1789132619991601,0.0
1789132620003624,0.0
1789132620006607,0.0
1789132620016130,0.0
1789132620027619,0.0
1789132620039601,0.0
1789132620051609,0.0
1789132620063665,0.0
1789132620066608,0.0
1789132620076462,0.0
1789132620087629,0.0
1789132620099600,0.0
1789132620111617,0.0
1789132620123624,0.0
1789132620126617,0.0
1789132620136053,0.0
1789132620147622,0.0
